                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8302,                 5.3897,                  11.34,                 3.1513,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.8434,                 4.8281,                 7.5156,                 2.5197,             0.00019992,             0.00019992,             0.00019992
                      2,                 4.0541,                 4.5537,                 6.7869,                 1.8096,                0.00049,                0.00065,                0.00024,                0.00012,                      0,                      0,                      0,                      0,                 4.2156,                 4.7427,                 5.4584,                 1.6732,             0.00040537,             0.00040537,             0.00040537
                      3,                 3.7878,                  4.531,                 5.7076,                  1.646,                0.01359,                0.06792,                 0.0182,                 0.0047,                0.01172,                0.05849,                0.01293,                 0.0036,                 3.6566,                 4.4296,                 4.5967,                 1.5468,             0.00060918,             0.00060918,             0.00060918
                      4,                 3.5964,                 4.4771,                 5.1707,                 1.6319,                0.37517,                0.02252,                0.01659,                0.00366,                0.23063,                0.08517,                0.01306,                0.00313,                  3.528,                 4.2871,                 3.7401,                 1.4172,             0.00070552,             0.00070552,             0.00070552
                      5,                  3.529,                 4.2151,                 4.6836,                 1.6845,                  0.376,                0.01347,                0.01834,                0.00412,                0.36729,                0.02212,                0.01333,                0.00321,                 3.4761,                 4.0941,                 3.6116,                 1.3866,             0.00070552,             0.00070552,             0.00070552
                      6,                 3.3162,                 3.9451,                 4.3882,                 1.4904,                0.48767,                0.02222,                0.01473,                0.00387,                0.49426,                0.02342,                0.01726,                 0.0042,                 3.4303,                   4.16,                 3.3683,                 1.3711,             0.00070269,             0.00070269,             0.00070269
                      7,                 3.3328,                 4.0875,                 4.2993,                 1.6134,                0.38175,                0.05242,                0.02998,                  0.008,                0.37603,                0.05167,                0.02301,                0.00732,                 3.2962,                 4.0546,                 3.0411,                 1.3058,             0.00069986,             0.00069986,             0.00069986
                      8,                  3.312,                 4.0789,                 4.2536,                 1.5004,                0.27967,                 0.0435,                0.03032,                0.00817,                0.14394,                0.03023,                0.01667,                0.00472,                 3.1592,                  4.055,                 2.9834,                 1.2775,             0.00069704,             0.00069704,             0.00069704
                      9,                 3.1783,                 3.9687,                 3.7612,                 1.4951,                0.28751,                0.06275,                0.04107,                0.01065,                0.26669,                0.04787,                0.02425,                0.00654,                 3.1245,                 4.0556,                 2.7298,                 1.2922,             0.00069421,             0.00069421,             0.00069421
                     10,                 3.1824,                 3.9834,                 3.7364,                 1.5654,                 0.3937,                 0.0492,                0.03468,                0.01059,                 0.2635,                0.04337,                0.02402,                 0.0076,                 3.1557,                 4.1226,                 2.8707,                 1.2725,             0.00069138,             0.00069138,             0.00069138
                     11,                 3.1563,                 3.8557,                 3.6284,                 1.4867,                0.51307,                0.05381,                 0.0414,                0.01126,                0.37946,                0.04625,                0.02659,                0.00768,                 3.1597,                 3.8562,                 2.8219,                 1.2663,             0.00068855,             0.00068855,             0.00068855
                     12,                 3.1012,                 3.8576,                 3.5252,                 1.3886,                0.30044,                0.05111,                 0.0498,                0.01351,                0.27783,                0.04208,                0.03832,                0.01139,                 3.1734,                 3.8931,                 2.8721,                 1.2631,             0.00068573,             0.00068573,             0.00068573
                     13,                 3.1105,                  3.697,                 3.4113,                 1.3869,                0.40012,                0.05612,                0.07849,                0.02268,                0.26557,                0.04063,                0.03006,                0.00776,                 3.0893,                 3.8386,                 2.7215,                 1.2344,              0.0006829,              0.0006829,              0.0006829
                     14,                 3.0355,                 3.6935,                 3.2525,                  1.438,                0.17778,                0.06256,                0.03948,                0.01069,                0.17715,                0.06698,                0.03621,                0.01003,                 3.1756,                 3.9922,                 2.6572,                 1.2667,             0.00068007,             0.00068007,             0.00068007
                     15,                 3.0367,                 3.7317,                 3.2379,                 1.3556,                0.29482,                0.06779,                0.04451,                 0.0131,                0.29516,                 0.0652,                0.04359,                0.01291,                 3.0296,                  3.754,                 2.6394,                 1.2503,             0.00067724,             0.00067724,             0.00067724
